"id","imsi","device","timestamp","rtt","upf","cpu","ram","bw_requested","bw_received","slice1_active_ues","slice2_active_ues","active_ues","admission_flag"
683,"999991000000082",uesimtun1,2025-06-09 09:51:53.000,"20.353",upf250,"25.0","0.8","5.0","5.4",3,3,6,1
684,"999991000000083",uesimtun2,2025-06-09 09:51:53.000,"17.253",upf500,"0.0","0.4","5.0","5.76",3,3,6,1
685,"999991000000084",uesimtun3,2025-06-09 09:51:53.000,"20.024",upf250,"27.8","0.8","5.0","5.77",3,3,6,1
686,"999991000000085",uesimtun4,2025-06-09 09:51:53.000,"20.453",upf500,"0.0","0.4","5.0","5.23",3,3,6,1
687,"999991000000086",uesimtun5,2025-06-09 09:51:53.000,"18.397",upf250,"33.3","0.8","5.0","6.83",3,3,6,1
688,"999991000000081",uesimtun0,2025-06-09 09:54:10.000,"18.194",upf500,"0.0","0.4","5.0","0.0",4,3,7,0
689,"999991000000082",uesimtun1,2025-06-09 09:54:10.000,"18.140",upf250,"25.0","0.8","5.0","5.28",4,3,7,1
690,"999991000000083",uesimtun2,2025-06-09 09:54:10.000,"18.203",upf500,"0.0","0.4","5.0","5.8",4,3,7,1
691,"999991000000084",uesimtun3,2025-06-09 09:54:10.000,"16.199",upf250,"29.4","0.8","5.0","5.27",4,3,7,1
692,"999991000000085",uesimtun4,2025-06-09 09:54:10.000,"22.019",upf500,"0.0","0.4","5.0","5.24",4,3,7,1
693,"999991000000086",uesimtun5,2025-06-09 09:54:10.000,"20.863",upf250,"25.0","0.8","5.0","4.82",4,3,7,0
694,"999991000000087",uesimtun6,2025-06-09 09:54:10.000,"17.673",upf500,"0.0","0.4","5.0","6.56",4,3,7,1
695,"999991000000081",uesimtun0,2025-06-09 09:56:35.000,"19.901",upf500,"6.2","0.4","5.0","0.0",4,4,8,0
696,"999991000000082",uesimtun1,2025-06-09 09:56:35.000,"19.182",upf250,"35.3","0.8","5.0","7.25",4,4,8,1
697,"999991000000083",uesimtun2,2025-06-09 09:56:35.000,"18.397",upf500,"0.0","0.4","5.0","4.25",4,4,8,0
698,"999991000000084",uesimtun3,2025-06-09 09:56:35.000,"21.126",upf250,"29.4","0.8","5.0","4.0",4,4,8,0
699,"999991000000085",uesimtun4,2025-06-09 09:56:35.000,"17.081",upf500,"0.0","0.4","5.0","4.52",4,4,8,0
700,"999991000000086",uesimtun5,2025-06-09 09:56:35.000,"20.618",upf250,"25.0","0.8","5.0","4.62",4,4,8,0
701,"999991000000087",uesimtun6,2025-06-09 09:56:35.000,"22.210",upf500,"0.0","0.4","5.0","3.8",4,4,8,0
702,"999991000000088",uesimtun7,2025-06-09 09:56:35.000,"20.936",upf250,"31.2","0.8","5.0","3.86",4,4,8,0
703,"999991000000081",uesimtun0,2025-06-09 09:59:09.000,"26.600",upf500,"0.0","0.4","5.0","0.0",5,4,9,0
704,"999991000000082",uesimtun1,2025-06-09 09:59:09.000,"21.336",upf250,"23.5","0.8","5.0","4.42",5,4,9,0
705,"999991000000083",uesimtun2,2025-06-09 09:59:09.000,"17.064",upf500,"0.0","0.4","5.0","4.7",5,4,9,0
706,"999991000000084",uesimtun3,2025-06-09 09:59:09.000,"19.330",upf250,"26.7","0.8","5.0","4.0",5,4,9,0
707,"999991000000085",uesimtun4,2025-06-09 09:59:09.000,"19.132",upf500,"0.0","0.4","5.0","4.62",5,4,9,0
708,"999991000000086",uesimtun5,2025-06-09 09:59:09.000,"22.290",upf250,"12.5","0.8","5.0","5.4",5,4,9,1
709,"999991000000087",uesimtun6,2025-06-09 09:59:09.000,"22.371",upf500,"0.0","0.4","5.0","3.84",5,4,9,0
710,"999991000000088",uesimtun7,2025-06-09 09:59:09.000,"24.419",upf250,"23.5","0.8","5.0","4.38",5,4,9,0
711,"999991000000089",uesimtun8,2025-06-09 09:59:09.000,"20.687",upf500,"0.0","0.4","5.0","5.59",5,4,9,1
712,"999991000000081",uesimtun0,2025-06-09 10:00:12.000,"17.739",upf500,"0.0","0.4","5.0","22.21",1,0,1,1
713,"999991000000081",uesimtun0,2025-06-09 10:01:22.000,"15.425",upf500,"0.0","0.4","5.0","13.26",2,0,2,1
714,"999991000000082",uesimtun1,2025-06-09 10:01:22.000,"19.605",upf500,"0.0","0.4","5.0","14.24",2,0,2,1
715,"999991000000081",uesimtun0,2025-06-09 10:02:45.000,"17.440",upf500,"0.0","0.4","5.0","9.8",3,0,3,1
716,"999991000000082",uesimtun1,2025-06-09 10:02:45.000,"20.548",upf500,"0.0","0.4","5.0","9.58",3,0,3,1
717,"999991000000083",uesimtun2,2025-06-09 10:02:45.000,"18.239",upf500,"0.0","0.4","5.0","8.58",3,0,3,1
718,"999991000000081",uesimtun0,2025-06-09 10:04:20.000,"17.713",upf500,"0.0","0.4","5.0","8.03",4,0,4,1
719,"999991000000082",uesimtun1,2025-06-09 10:04:20.000,"16.689",upf500,"0.0","0.4","5.0","7.22",4,0,4,1
720,"999991000000083",uesimtun2,2025-06-09 10:04:20.000,"19.196",upf500,"0.0","0.4","5.0","5.64",4,0,4,1
721,"999991000000084",uesimtun3,2025-06-09 10:04:20.000,"20.003",upf500,"0.0","0.4","5.0","5.9",4,0,4,1
722,"999991000000081",uesimtun0,2025-06-09 10:06:06.000,"18.452",upf500,"0.0","0.4","5.0","8.52",5,0,5,1
723,"999991000000082",uesimtun1,2025-06-09 10:06:06.000,"18.176",upf500,"0.0","0.4","5.0","6.38",5,0,5,1
724,"999991000000083",uesimtun2,2025-06-09 10:06:06.000,"20.935",upf500,"0.0","0.4","5.0","5.66",5,0,5,1
725,"999991000000084",uesimtun3,2025-06-09 10:06:06.000,"18.779",upf500,"0.0","0.4","5.0","5.36",5,0,5,1
726,"999991000000085",uesimtun4,2025-06-09 10:06:06.000,"17.773",upf500,"0.0","0.4","5.0","6.65",5,0,5,1
727,"999991000000081",uesimtun0,2025-06-09 10:08:05.000,"17.702",upf500,"0.0","0.4","5.0","4.96",6,0,6,0
728,"999991000000082",uesimtun1,2025-06-09 10:08:05.000,"19.801",upf500,"0.0","0.4","5.0","4.79",6,0,6,0
729,"999991000000083",uesimtun2,2025-06-09 10:08:05.000,"19.901",upf500,"0.0","0.4","5.0","5.08",6,0,6,1
730,"999991000000084",uesimtun3,2025-06-09 10:08:05.000,"19.014",upf500,"0.0","0.4","5.0","4.88",6,0,6,0
731,"999991000000085",uesimtun4,2025-06-09 10:08:05.000,"17.492",upf500,"0.0","0.4","5.0","4.82",6,0,6,0
732,"999991000000086",uesimtun5,2025-06-09 10:08:05.000,"18.246",upf500,"0.0","0.4","5.0","4.71",6,0,6,0
733,"999991000000081",uesimtun0,2025-06-09 10:10:16.000,"19.313",upf500,"0.0","0.4","5.0","4.19",7,0,7,0
734,"999991000000082",uesimtun1,2025-06-09 10:10:16.000,"19.373",upf500,"0.0","0.4","5.0","3.74",7,0,7,0
735,"999991000000083",uesimtun2,2025-06-09 10:10:16.000,"21.954",upf500,"0.0","0.4","5.0","4.31",7,0,7,0
736,"999991000000084",uesimtun3,2025-06-09 10:10:16.000,"19.749",upf500,"0.0","0.4","5.0","4.03",7,0,7,0
737,"999991000000085",uesimtun4,2025-06-09 10:10:16.000,"20.723",upf500,"0.0","0.4","5.0","4.13",7,0,7,0
738,"999991000000086",uesimtun5,2025-06-09 10:10:16.000,"20.131",upf500,"0.0","0.4","5.0","4.31",7,0,7,0
739,"999991000000087",uesimtun6,2025-06-09 10:10:16.000,"43.516",upf500,"0.0","0.4","5.0","3.53",7,0,7,0
740,"999991000000081",uesimtun0,2025-06-09 10:12:38.000,"43.704",upf500,"0.0","0.4","5.0","3.26",8,0,8,0
741,"999991000000082",uesimtun1,2025-06-09 10:12:38.000,"46.699",upf500,"0.0","0.4","5.0","3.46",8,0,8,0
742,"999991000000083",uesimtun2,2025-06-09 10:12:38.000,"45.987",upf500,"0.0","0.4","5.0","3.58",8,0,8,0
743,"999991000000084",uesimtun3,2025-06-09 10:12:38.000,"48.324",upf500,"0.0","0.4","5.0","3.86",8,0,8,0
744,"999991000000085",uesimtun4,2025-06-09 10:12:38.000,"43.000",upf500,"0.0","0.4","5.0","3.79",8,0,8,0
745,"999991000000086",uesimtun5,2025-06-09 10:12:38.000,"41.565",upf500,"0.0","0.4","5.0","4.0",8,0,8,0
746,"999991000000087",uesimtun6,2025-06-09 10:12:38.000,"48.710",upf500,"0.0","0.4","5.0","4.47",8,0,8,0
747,"999991000000088",uesimtun7,2025-06-09 10:12:38.000,"43.604",upf500,"0.0","0.4","5.0","4.42",8,0,8,0
748,"999991000000081",uesimtun0,2025-06-09 10:15:13.000,"46.592",upf500,"0.0","0.4","5.0","0.0",9,0,9,0
749,"999991000000082",uesimtun1,2025-06-09 10:15:13.000,"43.594",upf500,"0.0","0.4","5.0","3.39",9,0,9,0
750,"999991000000083",uesimtun2,2025-06-09 10:15:13.000,"41.640",upf500,"0.0","0.4","5.0","3.5",9,0,9,0
751,"999991000000084",uesimtun3,2025-06-09 10:15:13.000,"45.112",upf500,"0.0","0.4","5.0","4.09",9,0,9,0
752,"999991000000085",uesimtun4,2025-06-09 10:15:13.000,"44.399",upf500,"0.0","0.4","5.0","3.12",9,0,9,0
753,"999991000000086",uesimtun5,2025-06-09 10:15:13.000,"49.489",upf500,"0.0","0.4","5.0","3.57",9,0,9,0
754,"999991000000087",uesimtun6,2025-06-09 10:15:13.000,"42.994",upf500,"0.0","0.4","5.0","3.02",9,0,9,0
755,"999991000000088",uesimtun7,2025-06-09 10:15:13.000,"43.410",upf500,"0.0","0.4","5.0","3.61",9,0,9,0
756,"999991000000089",uesimtun8,2025-06-09 10:15:13.000,"46.724",upf500,"0.0","0.4","5.0","8.95",9,0,9,1
757,"999991000000081",uesimtun0,2025-06-09 10:16:17.000,"39.216",upf250,"18.8","0.6","5.0","12.56",0,1,1,1
758,"999991000000081",uesimtun0,2025-06-09 10:17:30.000,"41.189",upf250,"22.2","0.8","5.0","12.49",0,2,2,1
759,"999991000000082",uesimtun1,2025-06-09 10:17:30.000,"40.782",upf250,"31.2","0.8","5.0","12.64",0,2,2,1
760,"999991000000081",uesimtun0,2025-06-09 10:18:52.000,"40.731",upf250,"47.1","0.8","5.0","10.45",0,3,3,1
761,"999991000000082",uesimtun1,2025-06-09 10:18:52.000,"43.112",upf250,"29.4","0.8","5.0","8.35",0,3,3,1
762,"999991000000083",uesimtun2,2025-06-09 10:18:52.000,"40.148",upf250,"26.7","0.8","5.0","9.33",0,3,3,1
763,"999991000000081",uesimtun0,2025-06-09 10:20:26.000,"19.877",upf250,"35.3","0.8","5.0","7.44",0,4,4,1
764,"999991000000082",uesimtun1,2025-06-09 10:20:26.000,"20.044",upf250,"29.4","0.8","5.0","6.54",0,4,4,1
765,"999991000000083",uesimtun2,2025-06-09 10:20:26.000,"19.008",upf250,"36.8","0.8","5.0","7.06",0,4,4,1
766,"999991000000084",uesimtun3,2025-06-09 10:20:26.000,"19.222",upf250,"37.5","0.8","5.0","6.66",0,4,4,1
767,"999991000000081",uesimtun0,2025-06-09 10:22:14.000,"23.061",upf250,"27.8","0.8","5.0","5.24",0,5,5,1
768,"999991000000082",uesimtun1,2025-06-09 10:22:14.000,"16.325",upf250,"35.3","0.8","5.0","6.18",0,5,5,1
769,"999991000000083",uesimtun2,2025-06-09 10:22:14.000,"20.090",upf250,"40.0","0.8","5.0","6.37",0,5,5,1
770,"999991000000084",uesimtun3,2025-06-09 10:22:14.000,"21.656",upf250,"50.0","0.8","5.0","5.99",0,5,5,1
771,"999991000000085",uesimtun4,2025-06-09 10:22:14.000,"23.082",upf250,"29.4","0.8","5.0","4.82",0,5,5,0
772,"999991000000081",uesimtun0,2025-06-09 10:24:12.000,"22.862",upf250,"37.5","0.8","5.0","5.23",0,6,6,1
773,"999991000000082",uesimtun1,2025-06-09 10:24:12.000,"18.738",upf250,"52.9","0.8","5.0","4.17",0,6,6,0
774,"999991000000083",uesimtun2,2025-06-09 10:24:12.000,"18.413",upf250,"25.0","0.8","5.0","4.78",0,6,6,0
775,"999991000000084",uesimtun3,2025-06-09 10:24:12.000,"17.445",upf250,"42.1","0.8","5.0","4.63",0,6,6,0
776,"999991000000085",uesimtun4,2025-06-09 10:24:12.000,"17.519",upf250,"56.2","0.8","5.0","4.93",0,6,6,0
777,"999991000000086",uesimtun5,2025-06-09 10:24:12.000,"23.864",upf250,"35.3","0.9","5.0","4.38",0,6,6,0
778,"999991000000081",uesimtun0,2025-06-09 10:26:24.000,"19.301",upf250,"43.8","0.9","5.0","5.83",0,7,7,1
779,"999991000000082",uesimtun1,2025-06-09 10:26:24.000,"19.965",upf250,"37.5","0.9","5.0","6.55",0,7,7,1
780,"999991000000083",uesimtun2,2025-06-09 10:26:24.000,"19.715",upf250,"33.3","0.9","5.0","4.77",0,7,7,0
781,"999991000000084",uesimtun3,2025-06-09 10:26:24.000,"20.313",upf250,"26.7","0.9","5.0","4.81",0,7,7,0
782,"999991000000085",uesimtun4,2025-06-09 10:26:24.000,"20.391",upf250,"43.8","0.9","5.0","4.95",0,7,7,0
783,"999991000000086",uesimtun5,2025-06-09 10:26:24.000,"17.097",upf250,"44.4","0.9","5.0","4.93",0,7,7,0
