"id","imsi","device","timestamp","rtt","upf","cpu","ram","bw_requested","bw_received","slice1_active_ues","slice2_active_ues","active_ues","admission_flag"
1012,"999991000000086",uesimtun5,2025-06-09 13:57:32.000,"17.158",upf250,"31.2","0.9","5.0","5.63",3,3,6,1
1013,"999991000000081",uesimtun0,2025-06-09 13:59:35.000,"18.760",upf500,"0.0","0.4","5.0","4.56",3,4,7,0
1014,"999991000000082",uesimtun1,2025-06-09 13:59:35.000,"18.821",upf250,"23.5","0.9","5.0","3.94",3,4,7,0
1015,"999991000000083",uesimtun2,2025-06-09 13:59:35.000,"18.879",upf500,"0.0","0.4","5.0","4.62",3,4,7,0
1016,"999991000000084",uesimtun3,2025-06-09 13:59:35.000,"17.628",upf250,"33.3","0.9","5.0","4.59",3,4,7,0
1017,"999991000000085",uesimtun4,2025-06-09 13:59:35.000,"16.381",upf500,"0.0","0.4","5.0","4.29",3,4,7,0
1018,"999991000000086",uesimtun5,2025-06-09 13:59:35.000,"16.697",upf250,"33.3","0.9","5.0","4.62",3,4,7,0
1019,"999991000000087",uesimtun6,2025-06-09 13:59:35.000,"18.928",upf250,"37.5","0.9","5.0","4.6",3,4,7,0
1020,"999991000000081",uesimtun0,2025-06-09 14:01:20.000,"17.728",upf500,"0.0","0.4","5.0","4.22",3,4,7,0
1021,"999991000000082",uesimtun1,2025-06-09 14:01:20.000,"17.236",upf250,"37.5","0.9","5.0","5.54",3,4,7,1
1022,"999991000000083",uesimtun2,2025-06-09 14:01:20.000,"16.555",upf500,"0.0","0.4","5.0","4.92",3,4,7,0
1023,"999991000000084",uesimtun3,2025-06-09 14:01:20.000,"18.226",upf250,"31.2","0.9","5.0","4.74",3,4,7,0
1024,"999991000000085",uesimtun4,2025-06-09 14:01:20.000,"22.174",upf500,"0.0","0.4","5.0","4.87",3,4,7,0
1025,"999991000000086",uesimtun5,2025-06-09 14:01:20.000,"17.223",upf250,"31.2","0.9","5.0","5.4",3,4,7,1
1026,"999991000000087",uesimtun6,2025-06-09 14:01:20.000,"17.797",upf250,"29.4","0.9","5.0","5.19",3,4,7,1
1027,"999991000000081",uesimtun0,2025-06-09 14:03:06.000,"43.516",upf500,"0.0","0.4","5.0","0.0",3,4,7,0
1028,"999991000000082",uesimtun1,2025-06-09 14:03:06.000,"40.580",upf250,"33.3","0.9","5.0","4.73",3,4,7,0
1029,"999991000000083",uesimtun2,2025-06-09 14:03:06.000,"44.502",upf500,"0.0","0.4","5.0","4.84",3,4,7,0
1030,"999991000000084",uesimtun3,2025-06-09 14:03:06.000,"40.536",upf250,"41.2","0.9","5.0","6.23",3,4,7,1
1031,"999991000000085",uesimtun4,2025-06-09 14:03:06.000,"41.341",upf500,"0.0","0.4","5.0","5.29",3,4,7,1
1032,"999991000000086",uesimtun5,2025-06-09 14:03:06.000,"43.899",upf250,"37.5","0.9","5.0","5.08",3,4,7,1
1033,"999991000000087",uesimtun6,2025-06-09 14:03:06.000,"44.065",upf250,"33.3","0.9","5.0","5.18",3,4,7,1
1034,"999991000000081",uesimtun0,2025-06-09 14:04:52.000,"40.558",upf500,"0.0","0.4","5.0","0.0",3,4,7,0
1035,"999991000000082",uesimtun1,2025-06-09 14:04:52.000,"41.206",upf250,"25.0","0.9","5.0","5.28",3,4,7,1
1036,"999991000000083",uesimtun2,2025-06-09 14:04:52.000,"43.118",upf500,"0.0","0.4","5.0","4.56",3,4,7,0
1037,"999991000000084",uesimtun3,2025-06-09 14:04:52.000,"40.160",upf250,"23.5","0.9","5.0","5.93",3,4,7,1
1038,"999991000000085",uesimtun4,2025-06-09 14:04:52.000,"43.281",upf500,"0.0","0.4","5.0","5.65",3,4,7,1
1039,"999991000000086",uesimtun5,2025-06-09 14:04:52.000,"41.697",upf250,"31.2","0.9","5.0","5.17",3,4,7,1
1040,"999991000000087",uesimtun6,2025-06-09 14:04:52.000,"45.033",upf250,"25.0","0.9","5.0","5.04",3,4,7,1
